Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,678,5.6,5,6.1,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,1,BO1,CAT1,CVDCRHD4,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,Overall,Overall,644,5.9,5.2,6.5,528,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,1,BO1,CAT1,CVDINFR4,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,Overall,Overall,536,4.7,4.2,5.3,620,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,1,BO1,CAT1,CVDSTRK3,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Overall,Overall,8,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,COPD,Ever told you have COPD?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Depression,Ever told you that you have a form of depression?,No,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,Overall,Overall,328,3,2.6,3.4,988,%,Crude Prevalence,,,BRFSS,CLASS03,Topic35,1,BO1,CAT1,CHCKIDNY,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,No,Overall,Overall,8,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,Yes,Overall,Overall,942,8,7.3,8.7,804,%,Crude Prevalence,,,BRFSS,CLASS03,Topic40,1,BO1,CAT1,CHCOCNCR,RESP046,(32.84057112200048
2014,AL,Alabama,Chronic Health Indicators,Other Cancer,Ever told you had any other types of cancer?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Chronic Health Indicators,Skin Cancer,Ever told you had skin cancer?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,785,12.5,11.4,13.6,3,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,Overall,Overall,400,7.7,6.7,8.7,3,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,18-24 years,Overall,Overall,439,13,11.7,14.3,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,25-34 years,Overall,Overall,759,16.5,15.2,17.8,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,35-44 years,Overall,Overall,896,16,14.8,17.2,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,45-54 years,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,55-64 years,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Age,What is your age?,65+ years,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Are you blind or do you have serious difficulty seeing,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Are you blind or do you have serious difficulty seeing,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty concentrating,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty concentrating,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty doing errands alone?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,Yes,Overall,Overall,575,5.5,4.9,6.1,2,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have difficulty dressing or bathing?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,Yes,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Do you have serious difficulty walking or climbing stairs?,No,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Adults who are limited in any activities because of physical,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Adults who are limited in any activities because of physical,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AR,Arkansas,Demographics,Sex,Gender of respondent,Male,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work< yr,Overall,Overall,173,3,2.3,3.6,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,No work >yr,Overall,Overall,231,3.2,2.6,3.7,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Student,Overall,Overall,173,4.3,3.5,5.1,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Retired,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Employed,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Homemaker,Overall,Overall,596,7.5,6.7,8.3,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Employment,What is your employment status?,Self-employed,Overall,Overall,473,6.5,5.7,7.3,1,,,,,,,,,,,,,
2014,AR,Arkansas,Demographics,Sex,Gender of respondent,Female,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Income,What is your annual household income?,Less than $15,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Income,What is your annual household income?,$15 ,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Income,What is your annual household income?,$25 ,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Income,What is your annual household income?,$35 ,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Income,What is your annual household income?,$50 ,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,Yes,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Internet,Have you used the internet in the past 30 days?,No,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Divorced,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Widowed,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Separated,Overall,Overall,277,3,2.5,3.6,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Never married,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Marital Status,What is your marital status?,Partnered,Overall,Overall,109,2.2,1.7,2.8,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,Overall,Overall,22,0.5,0.2,0.7,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,Overall,Overall,102,1.7,1.3,2.1,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Overall,Overall,255,5,4.2,5.8,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,Overall,Overall,681,12,10.9,13.1,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Overall,Overall,946,15.2,14,16.4,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),None,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,White,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Black,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,MultiRacial,Overall,Overall,94,0.9,0.7,1.2,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Other,Overall,Overall,189,2.5,1.9,3.1,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Race,What is your race/ethnicity?,Hispanic,Overall,Overall,77,3.2,2.3,4,1,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Own,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Rent,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Rent/Own Home,Do you own or rent your home?,Other,Overall,Overall,583,8.2,7.3,9.2,2,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Sex,Gender of respondent,Male,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Sex,Gender of respondent,Female,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Demographics,Veteran Status,Have you ever served on active duty in the United States Armed Forces?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Health Care Cost,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,806,13.9,12.7,15.1,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,1,BO1,CAT1,HLTHPLN1,RESP054,(32.84057112200048
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,801,11.7,10.6,12.8,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP064,(32.84057112200048
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,418,6.7,5.9,7.5,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP065,(32.84057112200048
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,501,8.3,7.4,9.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP066,(32.84057112200048
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,77,1.2,0.8,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP067,(32.84057112200048
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,Yes,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,790,17.5,16,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,1,BO1,CAT1,_HCVU651,RESP054,(32.84057112200048
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Excellent,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Very good,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Good,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Fair,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Health Status,Overall Health,How is your general health?,Poor,Overall,Overall,781,7.3,6.6,7.9,5,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,1,BO1,CAT1,GENHLTH,RESP060,(32.84057112200048
2014,AL,Alabama,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,Yes,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,HIV-AIDS,HIV Test,Have you ever been tested for HIV?,No,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,Overall,Overall,958,33,30.7,35.3,3,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Immunization,Shingle Vaccination,Have you ever had the shingles or zoster vaccine?,No,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,Overall,Overall,73,3.4,2.4,4.4,3,,,,,,,,,,,,,
2014,AL,Alabama,Injury,Drink and Drive,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,Overall,Overall,7,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Injury,Seatbelt Use,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,Overall,Overall,871,12.8,11.7,13.9,3,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,624,22.2,20.2,24.2,1,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,5,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Oral Health,Teeth Removed,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,Overall,Overall,3,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),Overall,Overall,2,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),Overall,Overall,137,1.6,1.2,2,2,,,,,,,,,,,,,
2014,AL,Alabama,Physical Activity,Exercise,During the past month,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Physical Activity,Exercise,During the past month,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,958,50.4,47.6,53.1,3,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,1,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Current Smoker Status,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,Overall,Overall,6,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Smokeless Tobacco,Do you currently use chewing tobacco,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Smokeless Tobacco,Do you currently use chewing tobacco,,,,,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Smokeless Tobacco,Do you currently use chewing tobacco,,,,,,,,,,,,,,,,,,,,,
2014,AK,Alaska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Overall,Overall,4,,,,,,,,,,,,,,,,,
2014,AL,Alabama,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,Overall,Overall,1,,,,,,,,,,,,,,,,,
